employee_id,display_name,ad_username,ad_status,aws_username,aws_status,okta_username,okta_status,manager,department,employment_status,termination_date,last_login,is_oncall
E1000,Aryan Maharaj,aryan.maharaj@corp.in,active,aws-user-1000,active,aryan@company.in,active,Udant Dewan,IT,active,,2026-04-10T10:10:10.292705,True
E1001,Gagan Sami,gagan.sami@corp.in,active,aws-user-1001,active,gagan@company.in,active,Ayushman Chander,Finance,terminated,2026-06-07 17:10:10,2026-05-23T20:10:10.292764,True
E1002,Viraj Tiwari,viraj.tiwari@corp.in,active,aws-user-1002,active,viraj@company.in,active,Rushil Saini,IT,terminated,2026-05-30 17:10:10,2026-05-27T23:10:10.292806,False
E1003,Saumya Mall,saumya.mall@corp.in,active,aws-user-1003,active,saumya@company.in,active,Nathaniel Sami,Security,active,,2026-05-27T11:10:10.292847,True
E1004,Arunima Dugal,arunima.dugal@corp.in,active,aws-user-1004,active,arunima@company.in,active,Gayathri Chaudry,Finance,active,,2026-06-13T00:10:10.292895,False
E1005,Lajita Chatterjee,lajita.chatterjee@corp.in,active,aws-user-1005,active,lajita@company.in,active,Hemangini Lalla,Finance,active,,2025-12-22T00:10:10.292929,False
E1006,Tripti Yadav,tripti.yadav@corp.in,active,aws-user-1006,active,tripti@company.in,active,Kritika Brar,Security,active,,2026-01-20T09:10:10.292961,False
E1007,Janaki Handa,janaki.handa@corp.in,active,aws-user-1007,active,janaki@company.in,active,Chakradev Kari,Engineering,active,,2026-05-09T19:10:10.292993,False
E1008,Fariq Kaul,fariq.kaul@corp.in,active,aws-user-1008,active,fariq@company.in,active,Lajita Mall,Security,active,,2026-05-11T11:10:10.293026,False
E1009,Janya Gaba,janya.gaba@corp.in,active,aws-user-1009,active,janya@company.in,active,Isha Kadakia,Data,active,,2026-03-14T14:10:10.293062,True
E1010,Ekbal Garg,ekbal.garg@corp.in,active,aws-user-1010,active,ekbal@company.in,active,Nihal Shere,Data,active,,2026-01-16T09:10:10.293094,False
E1011,Anamika Kanda,anamika.kanda@corp.in,active,aws-user-1011,active,anamika@company.in,active,Daksh Karnik,Engineering,active,,2026-02-02T14:10:10.293126,False
E1012,Diya Rattan,diya.rattan@corp.in,active,aws-user-1012,active,diya@company.in,active,Dominic Kakar,Security,active,,2026-04-04T21:10:10.293158,True
E1013,Simon Tata,simon.tata@corp.in,active,aws-user-1013,active,simon@company.in,active,Tara Dhar,HR,active,,2026-03-18T23:10:10.293195,False
E1014,Liam Koshy,liam.koshy@corp.in,active,aws-user-1014,active,liam@company.in,active,Priya Rastogi,Finance,active,,2026-06-07T20:10:10.293244,False
E1015,Theodore Devi,theodore.devi@corp.in,active,aws-user-1015,active,theodore@company.in,active,Gavin Batta,Finance,active,,2026-05-30T10:10:10.293292,False
E1016,Michael Dutta,michael.dutta@corp.in,active,aws-user-1016,active,michael@company.in,active,Devansh Rajan,Engineering,active,,2026-02-22T21:10:10.293339,False
E1017,Upadhriti Wadhwa,upadhriti.wadhwa@corp.in,active,aws-user-1017,active,upadhriti@company.in,active,Advay Contractor,Data,active,,2026-03-21T11:10:10.293388,False
E1018,Harini Choudhury,harini.choudhury@corp.in,active,aws-user-1018,active,harini@company.in,active,Radhika Dugar,IT,active,,2025-12-26T21:10:10.293428,False
E1019,Aarush Lall,aarush.lall@corp.in,active,aws-user-1019,active,aarush@company.in,active,Yashica Cherian,Engineering,active,,2026-05-07T00:10:10.293466,False
E1020,Yashica Issac,yashica.issac@corp.in,active,aws-user-1020,active,yashica@company.in,active,Kashvi Edwin,IT,active,,2026-02-21T05:10:10.293499,False
E1021,Ekiya Suresh,ekiya.suresh@corp.in,active,aws-user-1021,active,ekiya@company.in,active,Isaac Patil,Data,contractor,,2026-01-06T19:10:10.293530,False
E1022,Wriddhish Bhardwaj,wriddhish.bhardwaj@corp.in,active,aws-user-1022,active,wriddhish@company.in,active,Farhan Chada,HR,contractor,,2026-03-28T16:10:10.293562,False
E1023,Ekapad Walia,ekapad.walia@corp.in,active,aws-user-1023,active,ekapad@company.in,active,Kabir Soman,Finance,active,,2026-03-31T05:10:10.293593,False
E1024,Alka Wable,alka.wable@corp.in,active,aws-user-1024,active,alka@company.in,active,Siddharth Zacharia,Data,active,,2026-01-24T19:10:10.293624,True
E1025,Devika Rastogi,devika.rastogi@corp.in,active,aws-user-1025,active,devika@company.in,active,Raksha Varughese,Data,active,,2026-02-12T05:10:10.293659,False
E1026,Jai Kota,jai.kota@corp.in,active,aws-user-1026,active,jai@company.in,active,Devansh Nigam,IT,contractor,,2026-04-13T13:10:10.293692,False
E1027,Victor Kannan,victor.kannan@corp.in,active,aws-user-1027,active,victor@company.in,active,Ekavir Bhargava,Finance,active,,2026-02-02T09:10:10.293723,False
E1028,Ekansh Balay,ekansh.balay@corp.in,active,aws-user-1028,active,ekansh@company.in,active,Ekavir Varkey,IT,active,,2026-01-21T05:10:10.293754,False
E1029,Arya Sunder,arya.sunder@corp.in,active,aws-user-1029,active,arya@company.in,active,Kevin Solanki,Data,active,,2026-05-15T01:10:10.293786,False
E1030,Urvashi Ray,urvashi.ray@corp.in,active,aws-user-1030,active,urvashi@company.in,active,Girindra Chatterjee,Security,contractor,,2026-06-07T14:10:10.293817,True
E1031,Irya Sampath,irya.sampath@corp.in,active,aws-user-1031,active,irya@company.in,active,Unni Bhagat,Finance,active,,2025-12-27T04:10:10.293848,False
E1032,Darsh Rau,darsh.rau@corp.in,active,aws-user-1032,active,darsh@company.in,active,Ikbal Kothari,HR,active,,2026-03-13T22:10:10.293879,True
E1033,Ranveer Yadav,ranveer.yadav@corp.in,active,aws-user-1033,active,ranveer@company.in,active,Logan Sami,Security,active,,2026-01-29T17:10:10.293911,False
E1034,Arya Shere,arya.shere@corp.in,active,aws-user-1034,active,arya@company.in,active,Faqid Savant,IT,active,,2025-12-27T00:10:10.293942,False
E1035,Chandresh Zachariah,chandresh.zachariah@corp.in,active,aws-user-1035,active,chandresh@company.in,active,Girik Khalsa,Data,active,,2026-03-24T14:10:10.293973,False
E1036,Niharika Sunder,niharika.sunder@corp.in,active,aws-user-1036,active,niharika@company.in,active,Tanay Rattan,Data,contractor,,2026-02-23T17:10:10.294004,False
E1037,Nitesh Raghavan,nitesh.raghavan@corp.in,active,aws-user-1037,active,nitesh@company.in,active,Madhavi Lanka,IT,active,,2026-04-13T01:10:10.294035,False
E1038,Bhavika Sampath,bhavika.sampath@corp.in,active,aws-user-1038,active,bhavika@company.in,active,Mohammed Gupta,Finance,active,,2026-05-22T21:10:10.294066,False
E1039,Teerth Bhardwaj,teerth.bhardwaj@corp.in,active,aws-user-1039,active,teerth@company.in,active,Dipta Bhandari,Data,active,,2026-02-09T22:10:10.294099,False
E1040,Vansha Thakkar,vansha.thakkar@corp.in,active,aws-user-1040,active,vansha@company.in,active,Dakshesh Trivedi,Finance,active,,2026-05-09T00:10:10.294129,False
E1041,Quincy Biswas,quincy.biswas@corp.in,active,aws-user-1041,active,quincy@company.in,active,Wahab Raval,HR,active,,2026-01-17T07:10:10.294162,False
